game_id,game_name,game_yr_pub,min_players,max_players,min_play_time,min_age,avg_rating,complexity,categories,designers,publishers,rank,Puzzle,Card Game
28143,Race for the Galaxy,2007,2,4,30,12,7.75733,2.9877,Card Game|Civilization|Economic|Science Fiction|Space Exploration,Thomas Lehmann,"Rio Grande Games|ABACUSSPIELE|Albi|Ediciones MasQueOca|Gabinete Lúdico|Galápagos Jogos|Gamesinitaly|Ghenos Games|Giochix.it|Hobby Japan|Hobby World|Korea Boardgames Co., Ltd.|Matagot|Pegasus Spiele|Portal Games|Rebel Sp. z o.o.|Smart Ltd|Wargames Club Publishing|Ystari Games",68,0,1
314040,Pandemic Legacy: Season 0,2020,2,4,45,14,8.59915,3.0426,Spies/Secret Agents,Rob Daviau|Matt Leacock,"Z-Man Games|Asmodee|Asmodee Italia|Gém Klub Kft.|Hobby Japan|Korea Boardgames Co., Ltd.|Rebel Sp. z o.o.",69,0,0
201808,Clank!: A Deck-Building Adventure,2016,2,4,30,12,7.81567,2.2164,Adventure|Fantasy,Paul Dennen,"Renegade Game Studios|Arclight|Conclave Editora|Devir|Dire Wolf|Korea Boardgames Co., Ltd.|Lavka Games|Lucrum Games|Raven Distribution|Reflexshop|REXhry|Schwerkraft-Verlag",70,0,0
159675,Fields of Arle,2014,1,2,60,13,8.06998,3.8685,Economic|Farming|Industry / Manufacturing,Uwe Rosenberg,"Feuerland Spiele|999 Games|Filosofia Éditions|Game Harbor|Games Factory Publishing|Korea Boardgames Co., Ltd.|Maldito Games|Z-Man Games|テンデイズゲームズ(TendaysGames)",71,0,0
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,60,14,7.81,3.8019,Adventure|Exploration|Fighting|Novel-based|Territory Building,Joanna Kijanka|Ignacy Trzewiczek,"Portal Games|Albi|Arclight|Conclave Editora|DiceTree Games|Edge Entertainment|Filosofia Éditions|Gém Klub Kft.|Hobby World|MYBG Co., Ltd.|Pegasus Spiele|uplay.it edizioni|Z-Man Games",72,0,0
229853,Teotihuacan: City of Gods,2018,1,4,90,14,7.91546,3.7726,Ancient,Daniele Tascini,NSKN Games|Board&Dice|Bucaneiros Jogos|CrowD Games|Game Harbor|Giochix.it|Jumping Turtle Games|Maldito Games|Pixie Games|Portal Games|Schwerkraft-Verlag|sternenschimmermeer|テンデイズゲームズ(TendaysGames),73,0,0
171623,The Voyages of Marco Polo,2015,2,4,40,12,7.83231,3.1857,Dice|Economic|Medieval|Travel,Simone Luciani|Daniele Tascini,"Hans im Glück|999 Games|Albi|Albi Polska|Arclight|CrowD Games|Devir|Filosofia Éditions|Giochi Uniti|Kaissa Chess & Games|Korea Boardgames Co., Ltd.|Piatnik|Swan Panasia Co., Ltd.|Z-Man Games",74,0,0
157354,Five Tribes,2014,2,4,40,13,7.78281,2.8522,Arabian|Fantasy|Mythology,Bruno Cathala,"Days of Wonder|Asterion Press|CrowD Games|Galápagos Jogos|Gém Klub Kft.|Korea Boardgames Co., Ltd.|Lord of Boards|Maldito Games|Rebel Sp. z o.o.",75,0,0
68448,7 Wonders,2010,2,7,30,10,7.72534,2.3248,Ancient|Card Game|City Building|Civilization|Economic,Antoine Bauza,"Repos Production|ADC Blackfire Entertainment|Asmodee|Asterion Press|Galápagos Jogos|Gém Klub Kft.|Hobby Japan|Kaissa Chess & Games|Korea Boardgames Co., Ltd.|Lautapelit.fi|Lifestyle Boardgames Ltd|NeoTroy Games|Rebel Sp. z o.o.|Siam Board Games",76,0,1
200680,Agricola (Revised Edition),2016,1,4,30,12,7.99017,3.4977,Animals|Economic|Farming,Uwe Rosenberg,"Lookout Games|999 Games|Asmodee Italia|Compaya.hu: Gamer Café Kft.|Devir|Funforge|Hobby Japan|Hobby World|Korea Boardgames Co., Ltd.|Lacerta|Lautapelit.fi|Mayfair Games|Swan Panasia Co., Ltd.|uplay.it edizioni",77,0,0
110327,Lords of Waterdeep,2012,2,5,60,12,7.74768,2.4577,City Building|Fantasy,Peter Lee|Rodney Thompson,Wizards of the Coast,78,0,0
62219,Dominant Species,2010,2,6,120,14,7.83357,4.042,Animals|Environmental|Prehistoric,Chad Jensen,"GMT Games|Asmodee|Asterion Press|Filosofia Éditions|Korea Boardgames Co., Ltd.|PHALANX|Udo Grebe Gamedesign|Wargames Club Publishing",79,0,0
182874,Grand Austria Hotel,2015,2,4,60,12,7.88572,3.2242,Card Game|Dice|Economic,Virginio Gigli|Simone Luciani,Lookout Games|Cranio Creations|CrowD Games|Funforge|Game Harbor|Lacerta|Maldito Games|Mandoo Games|Mayfair Games|PaperGames (III)|SD Games,80,0,1
236457,Architects of the West Kingdom,2018,1,5,60,12,7.79961,2.758,City Building|Medieval,Shem Phillips|S J Macdonald,"Garphill Games|Angry Lion Games|Banana Games|CMON Global Limited|Ediciones Primigenio|Fever Games|Korea Boardgames Co., Ltd.|Lavka Games|Lord of Boards|MEEPLE|MeepleBR|Mosaico Jogos|Pixie Games|Portal Games|Reflexshop|Renegade Game Studios|Schwerkraft-Verlag|TLAMA games|White Goblin Games|Yayoi The Dreamer|株式会社ケンビル (KenBill)",81,0,0
264220,Tainted Grail: The Fall of Avalon,2019,1,4,60,14,8.22796,3.2902,Adventure|Exploration|Fantasy|Mature / Adult|Medieval|Mythology|Travel,Krzysztof Piskorski|Marcin Świerkot,Awaken Realms|Albi|CrowD Games|Delta Vision Publishing|Edge Entertainment|Giochi Uniti|Maldito Games|MeepleBR|Pegasus Spiele|Summon Games|YOKA Games,82,0,0
122515,Keyflower,2012,2,6,90,12,7.77285,3.3445,City Building|Economic|Renaissance|Territory Building|Transportation,Sebastian Bleasdale|Richard Breese,"R&D Games|Czacha Games|Dice Realm|Ediciones MasQueOca|Fabrika Igr|FoxMind|Game Harbor|Game Salute|Gigamic|HUCH!|Quined Games|Red Glove|Swan Panasia Co., Ltd.",83,0,0
93,El Grande,1995,2,5,60,12,7.74814,3.0488,Medieval|Renaissance,Wolfgang Kramer|Richard Ulrich,Hans im Glück|999 Games|Användbart Litet Företag|Descartes Editeur|Filosofia Éditions|Gabinete Lúdico|Rio Grande Games,84,0,0
18602,Caylus,2005,2,5,60,12,7.7474,3.8012,City Building|Economic|Medieval,William Attia,"Ystari Games|Brain Games|Edge Entertainment|Esdevium|hobbity.eu|Hobby Japan|HUCH!|Korea Boardgames Co., Ltd.|Lautapelit.fi|Quined White Goblin Games|Rio Grande Games|uplay.it edizioni|What's Your Game?|White Goblin Games",85,0,0
37111,Battlestar Galactica: The Board Game,2008,3,6,120,14,7.73917,3.2485,Bluffing|Deduction|Movies / TV / Radio theme|Political|Science Fiction|Space Exploration|Spies/Secret Agents,Corey Konieczka,Fantasy Flight Games|Edge Entertainment|Editrice Giochi|Galakta|Game Harbor|Giochi Uniti|Heidelberger Spieleverlag,86,0,0
324856,The Crew: Mission Deep Sea,2021,2,5,20,10,8.39864,2.0133,Card Game,Thomas Sing,KOSMOS|999 Games|Galakta|Giochi Uniti|IELLO|Zvezda,87,0,1
12493,Twilight Imperium: Third Edition,2005,3,6,180,14,7.82076,4.2538,Civilization|Negotiation|Political|Science Fiction|Space Exploration|Wargame,Christian T. Petersen,Fantasy Flight Games,88,0,0
73439,Troyes,2010,1,4,90,12,7.7448,3.4647,Dice|Economic|Medieval,Sébastien Dujardin|Xavier Georges|Alain Orban,"Pearl Games|Asmodee|Korea Boardgames Co., Ltd.|Rebel Sp. z o.o.|Z-Man Games",89,0,0
40834,Dominion: Intrigue,2009,2,6,30,13,7.70606,2.4202,Card Game|Medieval,Donald X. Vaccarino,"Rio Grande Games|999 Games|Albi|ASS Altenburger Spielkarten|Bard Centrum Gier|Devir|Filosofia Éditions|Games Factory Publishing|Gém Klub Kft.|Giochi Uniti|Hans im Glück|Hobby Japan|Hobby World|Korea Boardgames Co., Ltd.|Lautapelit.fi|Stupor Mundi|Swan Panasia Co., Ltd.|Vennerød Forlag AS",90,0,1
269385,The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,60,14,7.99372,2.5989,Adventure|Fantasy|Fighting|Miniatures|Novel-based,Nathan I. Hajek|Grace Holdinghaus,"Fantasy Flight Games|ADC Blackfire Entertainment|Asmodee|Asmodee China|Delta Vision Publishing|Galápagos Jogos|Hobby World|Korea Boardgames Co., Ltd.|Rebel Sp. z o.o.",91,0,0
146021,Eldritch Horror,2013,1,8,120,14,7.77844,3.3194,Adventure|Fantasy|Fighting|Horror|Novel-based|Travel,Corey Konieczka|Nikki Valens,"Fantasy Flight Games|ADC Blackfire Entertainment|Arclight|Asmodee China|Delta Vision Publishing|Edge Entertainment|Galakta|Galápagos Jogos|Giochi Uniti|Heidelberger Spieleverlag|Hobby World|Korea Boardgames Co., Ltd.|Wargames Club Publishing",92,0,0
170042,Raiders of the North Sea,2015,2,4,60,12,7.77117,2.5383,Medieval|Nautical,Shem Phillips,Garphill Games|Angry Lion Games|Banana Games|CrowD Games|Ediciones Primigenio|Games Factory Publishing|Ghenos Games|Kaissa Chess & Games|MeepleBR|Mosigra|Pixie Games|Renegade Game Studios|REXhry|Schwerkraft-Verlag|White Goblin Games|Ігромаг,93,0,0
172386,Mombasa,2015,2,4,75,12,7.86853,3.8944,Economic,Alexander Pfister,eggertspiele|Albi|Arclight|Bright World Games|Delta Vision Publishing|Do it games|The Game Master BV|Gigamic|Lacerta|LudoSentinel|MeepleBR|Pegasus Spiele|R&R Games|uplay.it edizioni,94,0,0
203993,Lorenzo il Magnifico,2016,2,4,60,12,7.88099,3.2994,Renaissance,Flaminia Brasini|Virginio Gigli|Simone Luciani,Cranio Creations|Albi|Albi Polska|Angry Lion Games|Atalia|CrowD Games|Game Harbor|HeidelBÄR Games|Maldito Games|MeepleBR|テンデイズゲームズ(TendaysGames),95,0,0
205896,Rising Sun,2018,3,5,90,14,7.82187,3.2836,Bluffing|Fantasy|Miniatures|Mythology|Negotiation|Wargame,Eric M. Lang,CMON Global Limited|ADC Blackfire Entertainment|Arclight|Asmodee|Asterion Press|Delta Vision Publishing|Edge Entertainment|Galápagos Jogos|Game Harbor|Hobby World|Portal Games,96,0,0
281259,The Isle of Cats,2019,1,4,60,8,7.87181,2.3142,Animals|Fantasy|Puzzle,Frank West,The City of Games|Arclight|GaGa Games|Geekach Games|Gém Klub Kft.|Lucky Duck Games|Maldito Games|MeepleBR|MINDOK|Skellig Games|sternenschimmermeer|Yayoi The Dreamer|YOKA Games,97,1,0
163412,Patchwork,2014,2,2,15,8,7.63027,1.6176,Abstract Strategy|Puzzle,Uwe Rosenberg,"Lookout Games|999 Games|Asmodee|Asmodee China|Asmodee Italia|Asmodee Korea|Brain Games|Compaya.hu: Gamer Café Kft.|CrowD Games|Dragonfly Publishing|Funforge|GeGe Co. Ltd.|GoKids 玩樂小子|Hobby Japan|Kaissa Chess & Games|Kilogames|Korea Boardgames Co., Ltd.|Lacerta|Lautapelit.fi|Liam Games|Ludicus|Ludofy Creative|Maldito Games|Mayfair Games|MINDOK|NeoTroy Games|Rebel Sp. z o.o.|uplay.it edizioni|Нескучные игры",98,1,0
